time,temperature,humidity,moisture
2025-11-30T10:52:12.449Z,30.8,42,100
,,,
2025-11-30T10:52:12.453Z,30.8,42,100
,,,
2025-11-30T10:52:12.456Z,30.8,42,100
,,,
2025-11-30T10:52:12.458Z,30.8,42,100
,,,
2025-11-30T10:52:12.483Z,30.8,42,100
,,,
2025-11-30T10:52:12.485Z,30.8,42,100
,,,
2025-11-30T10:52:12.487Z,30.8,42,100
,,,
2025-11-30T10:52:12.489Z,30.8,42,100
,,,
2025-11-30T10:52:12.492Z,30.8,42,100
,,,
2025-11-30T10:52:12.495Z,30.8,42,100
,,,
2025-11-30T10:52:12.497Z,30.8,42,100
,,,
2025-11-30T10:52:12.499Z,30.8,42,100
,,,
2025-11-30T10:52:12.514Z,30.8,42,100
,,,
2025-11-30T10:52:12.516Z,30.8,42,100
,,,
2025-11-30T10:52:12.518Z,30.8,42,100
,,,
2025-11-30T10:52:12.521Z,30.8,42,100
,,,
2025-11-30T10:52:12.523Z,30.8,42,100
,,,
2025-11-30T10:52:12.526Z,30.8,42,100
,,,
2025-11-30T10:52:12.529Z,30.8,42,100
,,,
2025-11-30T10:52:12.531Z,30.8,42,100
,,,
2025-11-30T10:52:12.546Z,30.8,42,100
,,,
2025-11-30T10:52:12.549Z,30.8,42,100
,,,
2025-11-30T10:52:12.564Z,30.8,42,100
,,,
2025-11-30T10:52:12.566Z,30.8,42,100
,,,
2025-11-30T10:52:12.579Z,30.8,42,100
,,,
2025-11-30T10:52:12.581Z,30.8,42,100
,,,
2025-11-30T10:52:12.583Z,30.8,42,100
,,,
2025-11-30T10:52:12.585Z,30.8,42,100
,,,
2025-11-30T10:52:12.593Z,30.8,42,100
,,,
2025-11-30T10:52:12.596Z,30.8,42,100
,,,
2025-11-30T10:52:12.598Z,30.8,42,100
,,,
2025-11-30T10:52:12.600Z,30.8,42,100
,,,
2025-11-30T10:52:12.603Z,30.8,42,100
,,,
2025-11-30T10:52:12.605Z,30.8,42,100
,,,
2025-11-30T10:52:12.607Z,30.8,42,100
,,,
2025-11-30T10:52:12.625Z,30.8,42,100
,,,
2025-11-30T10:52:12.628Z,30.8,42,100
,,,
2025-11-30T10:52:12.630Z,30.8,42,100
,,,
2025-11-30T10:52:12.632Z,30.8,42,100
,,,
2025-11-30T10:52:12.634Z,30.8,42,100
,,,
2025-11-30T10:52:12.636Z,30.8,42,100
,,,
2025-11-30T10:52:12.638Z,30.8,42,100
,,,
2025-11-30T10:52:12.640Z,30.8,42,100
,,,
2025-11-30T10:52:12.643Z,30.8,42,100
,,,
2025-11-30T10:52:12.645Z,30.8,42,100
,,,
2025-11-30T10:52:12.647Z,30.8,42,100
,,,
2025-11-30T10:52:12.649Z,30.8,42,100
,,,
2025-11-30T10:52:12.651Z,30.8,42,100
,,,
2025-11-30T10:52:12.653Z,30.8,42,100
,,,
2025-11-30T10:52:12.656Z,30.8,42,100
,,,
2025-11-30T10:52:12.658Z,30.8,42,100
,,,
2025-11-30T10:52:12.661Z,30.8,42,100
,,,
2025-11-30T10:52:12.663Z,30.8,42,100
,,,
2025-11-30T10:52:12.665Z,30.8,42,100
,,,
2025-11-30T10:52:12.687Z,30.8,42,100
,,,
2025-11-30T10:52:12.690Z,30.8,42,100
,,,
2025-11-30T10:52:12.705Z,30.8,42,100
,,,
2025-11-30T10:52:12.720Z,30.8,42,100
,,,
2025-11-30T10:52:12.722Z,30.8,42,100
,,,
2025-11-30T10:52:12.724Z,30.8,42,100
,,,
2025-11-30T10:52:12.727Z,30.8,42,100
,,,
2025-11-30T10:52:12.729Z,30.8,42,100
,,,
2025-11-30T10:52:12.731Z,30.8,42,100
,,,
2025-11-30T10:52:12.733Z,30.8,42,100
,,,
2025-11-30T10:52:12.735Z,30.8,42,100
,,,
2025-11-30T10:52:12.736Z,30.8,42,100
,,,
2025-11-30T10:52:12.751Z,30.8,42,100
,,,
2025-11-30T10:52:12.753Z,30.8,42,100
,,,
2025-11-30T10:52:12.767Z,30.8,42,100
,,,
2025-11-30T10:52:12.781Z,30.8,42,100
,,,
2025-11-30T10:52:12.783Z,30.8,42,100
,,,
2025-11-30T10:52:12.785Z,30.8,42,100
,,,
2025-11-30T10:52:12.797Z,30.8,42,100
,,,
2025-11-30T10:52:12.799Z,30.8,42,100
,,,
2025-11-30T10:52:12.801Z,30.8,42,100
,,,
2025-11-30T10:52:12.803Z,30.8,42,100
,,,
2025-11-30T10:52:12.804Z,30.8,42,100
,,,
2025-11-30T10:52:12.806Z,30.8,42,100
,,,
2025-11-30T10:52:12.812Z,30.8,42,100
,,,
2025-11-30T10:52:12.815Z,30.8,42,100
,,,
2025-11-30T10:52:12.816Z,30.8,42,100
,,,
2025-11-30T10:52:12.818Z,30.8,42,100
,,,
2025-11-30T10:52:12.820Z,30.8,42,100
,,,
2025-11-30T10:52:12.845Z,30.8,42,100
,,,
2025-11-30T10:52:12.847Z,30.8,42,100
,,,
2025-11-30T10:52:12.849Z,30.8,42,100
,,,
2025-11-30T10:52:12.861Z,30.8,42,100
,,,
2025-11-30T10:52:12.875Z,30.8,42,100
,,,
2025-11-30T10:52:12.877Z,30.8,42,100
,,,
2025-11-30T10:52:12.880Z,30.8,42,100
,,,
2025-11-30T10:52:12.892Z,30.8,42,100
,,,
2025-11-30T10:52:12.906Z,30.8,42,100
,,,
2025-11-30T10:52:12.908Z,30.8,42,100
,,,
2025-11-30T10:52:12.911Z,30.8,42,100
,,,
2025-11-30T10:52:12.913Z,30.8,42,100
,,,
2025-11-30T10:52:12.915Z,30.8,42,100
,,,
2025-11-30T10:52:12.917Z,30.8,42,100
,,,
2025-11-30T10:52:12.919Z,30.8,42,100
,,,
2025-11-30T10:52:12.921Z,30.8,42,100
,,,
2025-11-30T10:52:12.923Z,30.8,42,100
,,,
2025-11-30T10:52:12.925Z,30.8,42,100
,,,
2025-11-30T10:52:12.927Z,30.8,42,100
,,,
2025-11-30T10:52:12.929Z,30.8,42,100
,,,
2025-11-30T10:52:12.937Z,30.8,42,100
,,,
2025-11-30T10:52:12.939Z,30.8,42,100
,,,
2025-11-30T10:52:12.941Z,30.8,42,100
,,,
2025-11-30T10:52:12.944Z,30.8,42,100
,,,
2025-11-30T10:52:12.953Z,30.8,42,100
,,,
2025-11-30T10:52:12.955Z,30.8,42,100
,,,
2025-11-30T10:52:12.957Z,30.8,42,100
,,,
2025-11-30T10:52:12.959Z,30.8,42,100
,,,
2025-11-30T10:52:12.961Z,30.8,42,100
,,,
2025-11-30T10:52:12.985Z,30.8,42,100
,,,
2025-11-30T10:52:12.987Z,30.8,42,100
,,,
2025-11-30T10:52:12.989Z,30.8,42,100
,,,
2025-11-30T10:52:13.002Z,30.8,42,100
,,,
2025-11-30T10:52:13.004Z,30.8,42,100
,,,
2025-11-30T10:52:13.006Z,30.8,42,100
,,,
2025-11-30T10:52:13.008Z,30.8,42,100
,,,
2025-11-30T10:52:13.010Z,30.8,42,100
,,,
2025-11-30T10:52:13.034Z,30.8,42,100
,,,
2025-11-30T10:52:13.036Z,30.8,42,100
,,,
2025-11-30T10:52:13.038Z,30.8,42,100
,,,
2025-11-30T10:52:13.039Z,30.8,42,100
,,,
2025-11-30T10:52:13.041Z,30.8,42,100
,,,
2025-11-30T10:52:13.044Z,30.8,42,100
,,,
2025-11-30T10:52:13.063Z,30.8,42,100
,,,
2025-11-30T10:52:13.065Z,30.8,42,100
,,,
2025-11-30T10:52:13.067Z,30.8,42,100
,,,
2025-11-30T10:52:13.069Z,30.8,42,100
,,,
2025-11-30T10:52:13.071Z,30.8,42,100
,,,
2025-11-30T10:52:13.073Z,30.8,42,100
,,,
2025-11-30T10:52:13.075Z,30.8,42,100
,,,
2025-11-30T10:52:13.077Z,30.8,42,100
,,,
2025-11-30T10:52:13.080Z,30.8,42,100
,,,
2025-11-30T10:52:13.081Z,30.8,42,100
,,,
2025-11-30T10:52:13.083Z,30.8,42,100
,,,
2025-11-30T10:52:13.085Z,30.8,42,100
,,,
2025-11-30T10:52:13.087Z,30.8,42,100
,,,
2025-11-30T10:52:13.089Z,30.8,42,100
,,,
2025-11-30T10:52:13.091Z,30.8,42,100
,,,
2025-11-30T10:52:13.093Z,30.8,42,100
,,,
2025-11-30T10:52:13.096Z,30.8,42,100
,,,
2025-11-30T10:52:13.098Z,30.8,42,100
,,,
2025-11-30T10:52:13.100Z,30.8,42,100
,,,
2025-11-30T10:52:13.102Z,30.8,42,100
,,,
2025-11-30T10:52:13.104Z,30.8,42,100
,,,
2025-11-30T10:52:13.106Z,30.8,42,100
,,,
2025-11-30T10:52:13.108Z,30.8,42,100
,,,
2025-11-30T10:52:13.110Z,30.8,42,100
,,,
2025-11-30T10:52:13.113Z,30.8,42,100
,,,
2025-11-30T10:52:13.118Z,30.8,42,100
,,,
2025-11-30T10:52:13.120Z,30.8,42,100
,,,
2025-11-30T10:52:13.122Z,30.8,42,100
,,,
2025-11-30T10:52:13.124Z,30.8,42,100
,,,
2025-11-30T10:52:13.142Z,30.8,42,100
,,,
2025-11-30T10:52:13.145Z,30.8,42,100
,,,
2025-11-30T10:52:13.147Z,30.8,42,100
,,,
